Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"1,2",80,40,0.10,0.013,12.7,3.5,5.4186,69.5
10%,"1,2",85,30,0.11,0.013,12.7,3.5,5.4186,68.9
10%,"1,2",85,40,0.10,0.013,12.7,3.5,5.4186,68.3
6%,"4,344",75,30,0.07,0.013,7.5,3.5,5.4186,88.4
6%,"4,344",75,40,0.07,0.013,7.5,3.5,5.4186,84.3
6%,"4,344",80,30,0.07,0.013,7.5,3.5,5.4186,84.8
6%,"4,344",80,40,0.07,0.013,7.5,3.5,5.4186,81.0
6%,"4,344",85,30,0.07,0.013,7.5,3.5,5.4186,81.7
6%,"4,344",85,40,0.07,0.013,7.5,3.5,5.4186,78.1
6%,"2,772",75,30,0.07,0.013,9.1,3.5,5.4186,73.5
6%,"2,772",75,40,0.07,0.013,9.1,3.5,5.4186,70.9
6%,"2,772",80,30,0.07,0.013,9.1,3.5,5.4186,71.2
6%,"2,772",80,40,0.07,0.013,9.1,3.5,5.4186,68.8
6%,"2,772",85,30,0.07,0.013,9.1,3.5,5.4186,69.2
6%,"2,772",85,40,0.07,0.013,9.1,3.5,5.4186,66.9
6%,"1,2",75,30,0.07,0.013,12.7,3.5,5.4186,65.4
6%,"1,2",75,40,0.07,0.013,12.7,3.5,5.4186,64.3
6%,"1,2",80,30,0.07,0.013,12.7,3.5,5.4186,64.4
6%,"1,2",80,40,0.07,0.013,12.7,3.5,5.4186,63.4
6%,"1,2",85,30,0.07,0.013,12.7,3.5,5.4186,63.5
6%,"1,2",85,40,0.07,0.013,12.7,3.5,5.4186,62.6
4%,"4,344",75,30,0.06,0.013,7.5,3.5,5.4186,78.6
4%,"4,344",75,40,0.05,0.013,7.5,3.5,5.4186,73.7
4%,"4,344",80,30,0.06,0.013,7.5,3.5,5.4186,75.6
4%,"4,344",80,40,0.05,0.013,7.5,3.5,5.4186,71.1
4%,"4,344",85,30,0.06,0.013,7.5,3.5,5.4186,73.1
4%,"4,344",85,40,0.05,0.013,7.5,3.5,5.4186,68.8
4%,"2,772",75,30,0.06,0.013,9.1,3.5,5.4186,67.2
4%,"2,772",75,40,0.05,0.013,9.1,3.5,5.4186,64.1
4%,"2,772",80,30,0.06,0.013,9.1,3.5,5.4186,65.4
4%,"2,772",80,40,0.05,0.013,9.1,3.5,5.4186,62.5
4%,"2,772",85,30,0.06,0.013,9.1,3.5,5.4186,63.7
4%,"2,772",85,40,0.05,0.013,9.1,3.5,5.4186,61.0
4%,"1,2",75,30,0.06,0.013,12.7,3.5,5.4186,62.7
4%,"1,2",75,40,0.05,0.013,12.7,3.5,5.4186,61.3
4%,"1,2",80,30,0.06,0.013,12.7,3.5,5.4186,61.9
4%,"1,2",80,40,0.05,0.013,12.7,3.5,5.4186,60.6
4%,"1,2",85,30,0.06,0.013,12.7,3.5,5.4186,61.2
4%,"1,2",85,40,0.05,0.013,12.7,3.5,5.4186,60.0
10%,"4,344",75,30,0.11,0.017,7.5,3.5,5.4186,113.2
10%,"4,344",75,40,0.10,0.017,7.5,3.5,5.4186,110.7
10%,"4,344",80,30,0.11,0.017,7.5,3.5,5.4186,108.1
10%,"4,344",80,40,0.10,0.017,7.5,3.5,5.4186,105.7
10%,"4,344",85,30,0.11,0.017,7.5,3.5,5.4186,103.6
10%,"4,344",85,40,0.10,0.017,7.5,3.5,5.4186,101.4
10%,"2,772",75,30,0.11,0.017,9.1,3.5,5.4186,89.3
10%,"2,772",75,40,0.10,0.017,9.1,3.5,5.4186,87.7
10%,"2,772",80,30,0.11,0.017,9.1,3.5,5.4186,86.1
10%,"2,772",80,40,0.10,0.017,9.1,3.5,5.4186,84.6
10%,"2,772",85,30,0.11,0.017,9.1,3.5,5.4186,83.2
10%,"2,772",85,40,0.10,0.017,9.1,3.5,5.4186,81.8
10%,"1,2",75,30,0.11,0.017,12.7,3.5,5.4186,72.2
10%,"1,2",75,40,0.10,0.017,12.7,3.5,5.4186,71.5
10%,"1,2",80,30,0.11,0.017,12.7,3.5,5.4186,70.8
10%,"1,2",80,40,0.10,0.017,12.7,3.5,5.4186,70.2
10%,"1,2",85,30,0.11,0.017,12.7,3.5,5.4186,69.6
10%,"1,2",85,40,0.10,0.017,12.7,3.5,5.4186,69.0
6%,"4,344",75,30,0.07,0.017,7.5,3.5,5.4186,91.1
6%,"4,344",75,40,0.07,0.017,7.5,3.5,5.4186,87.0
6%,"4,344",80,30,0.07,0.017,7.5,3.5,5.4186,87.4
6%,"4,344",80,40,0.07,0.017,7.5,3.5,5.4186,83.5
6%,"4,344",85,30,0.07,0.017,7.5,3.5,5.4186,84.1
6%,"4,344",85,40,0.07,0.017,7.5,3.5,5.4186,80.5
6%,"2,772",75,30,0.07,0.017,9.1,3.5,5.4186,75.2
6%,"2,772",75,40,0.07,0.017,9.1,3.5,5.4186,72.6
6%,"2,772",80,30,0.07,0.017,9.1,3.5,5.4186,72.8
6%,"2,772",80,40,0.07,0.017,9.1,3.5,5.4186,70.4
6%,"2,772",85,30,0.07,0.017,9.1,3.5,5.4186,70.8
6%,"2,772",85,40,0.07,0.017,9.1,3.5,5.4186,68.4
6%,"1,2",75,30,0.07,0.017,12.7,3.5,5.4186,66.1
6%,"1,2",75,40,0.07,0.017,12.7,3.5,5.4186,65.0
6%,"1,2",80,30,0.07,0.017,12.7,3.5,5.4186,65.1
6%,"1,2",80,40,0.07,0.017,12.7,3.5,5.4186,64.1
6%,"1,2",85,30,0.07,0.017,12.7,3.5,5.4186,64.2
6%,"1,2",85,40,0.07,0.017,12.7,3.5,5.4186,63.2
4%,"4,344",75,30,0.06,0.017,7.5,3.5,5.4186,81.3
4%,"4,344",75,40,0.05,0.017,7.5,3.5,5.4186,76.4
4%,"4,344",80,30,0.06,0.017,7.5,3.5,5.4186,78.2
4%,"4,344",80,40,0.05,0.017,7.5,3.5,5.4186,73.6
4%,"4,344",85,30,0.06,0.017,7.5,3.5,5.4186,75.4
4%,"4,344",85,40,0.05,0.017,7.5,3.5,5.4186,71.2
4%,"2,772",75,30,0.06,0.017,9.1,3.5,5.4186,69.0
4%,"2,772",75,40,0.05,0.017,9.1,3.5,5.4186,65.9
4%,"2,772",80,30,0.06,0.017,9.1,3.5,5.4186,67.0
4%,"2,772",80,40,0.05,0.017,9.1,3.5,5.4186,64.1
4%,"2,772",85,30,0.06,0.017,9.1,3.5,5.4186,65.2
4%,"2,772",85,40,0.05,0.017,9.1,3.5,5.4186,62.5
4%,"1,2",75,30,0.06,0.017,12.7,3.5,5.4186,63.4
4%,"1,2",75,40,0.05,0.017,12.7,3.5,5.4186,62.1
4%,"1,2",80,30,0.06,0.017,12.7,3.5,5.4186,62.6
4%,"1,2",80,40,0.05,0.017,12.7,3.5,5.4186,61.3
4%,"1,2",85,30,0.06,0.017,12.7,3.5,5.4186,61.8
4%,"1,2",85,40,0.05,0.017,12.7,3.5,5.4186,60.6
