Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
4%,"6,068",70,30,0.06,0.042,11.0,1.0,5.4967,114.9
4%,"6,068",75,20,0.07,0.042,11.0,1.0,5.4967,122.9
4%,"6,068",75,30,0.06,0.042,11.0,1.0,5.4967,108.3
4%,"4,018",65,20,0.07,0.042,13.0,1.0,5.4967,99.5
4%,"4,018",65,30,0.06,0.042,13.0,1.0,5.4967,88.4
4%,"4,018",70,20,0.07,0.042,13.0,1.0,5.4967,93.7
4%,"4,018",70,30,0.06,0.042,13.0,1.0,5.4967,83.4
4%,"4,018",75,20,0.07,0.042,13.0,1.0,5.4967,88.6
4%,"4,018",75,30,0.06,0.042,13.0,1.0,5.4967,79.0
4%,"1,968",65,20,0.07,0.042,14.0,1.0,5.4967,58.8
4%,"1,968",65,30,0.06,0.042,14.0,1.0,5.4967,53.4
4%,"1,968",70,20,0.07,0.042,14.0,1.0,5.4967,55.9
4%,"1,968",70,30,0.06,0.042,14.0,1.0,5.4967,50.9
4%,"1,968",75,20,0.07,0.042,14.0,1.0,5.4967,53.5
4%,"1,968",75,30,0.06,0.042,14.0,1.0,5.4967,48.8
10%,"6,068",65,20,0.12,0.029,11.0,1.2,5.4967,174.5
10%,"6,068",65,30,0.11,0.029,11.0,1.2,5.4967,162.4
10%,"6,068",70,20,0.12,0.029,11.0,1.2,5.4967,163.4
10%,"6,068",70,30,0.11,0.029,11.0,1.2,5.4967,152.1
10%,"6,068",75,20,0.12,0.029,11.0,1.2,5.4967,153.7
10%,"6,068",75,30,0.11,0.029,11.0,1.2,5.4967,143.2
10%,"4,018",65,20,0.12,0.029,13.0,1.2,5.4967,124.2
10%,"4,018",65,30,0.11,0.029,13.0,1.2,5.4967,116.2
10%,"4,018",70,20,0.12,0.029,13.0,1.2,5.4967,116.8
10%,"4,018",70,30,0.11,0.029,13.0,1.2,5.4967,109.4
10%,"4,018",75,20,0.12,0.029,13.0,1.2,5.4967,110.4
10%,"4,018",75,30,0.11,0.029,13.0,1.2,5.4967,103.5
10%,"1,968",65,20,0.12,0.029,14.0,1.2,5.4967,72.7
10%,"1,968",65,30,0.11,0.029,14.0,1.2,5.4967,68.8
10%,"1,968",70,20,0.12,0.029,14.0,1.2,5.4967,69.1
