Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
4%,917,75,30,0.058,0.0234,6.8,3.3000,3.2500,36.9
4%,917,80,20,0.074,0.0234,6.8,3.3000,3.2500,38.2
4%,917,80,30,0.058,0.0234,6.8,3.3000,3.2500,36.2
4%,917,85,20,0.074,0.0234,6.8,3.3000,3.2500,37.5
4%,917,85,30,0.058,0.0234,6.8,3.3000,3.2500,35.5
4%,673,75,20,0.074,0.0234,7.5,3.3000,3.2500,37.9
4%,673,75,30,0.058,0.0234,7.5,3.3000,3.2500,36.3
4%,673,80,20,0.074,0.0234,7.5,3.3000,3.2500,37.3
4%,673,80,30,0.058,0.0234,7.5,3.3000,3.2500,35.8
4%,673,85,20,0.074,0.0234,7.5,3.3000,3.2500,36.8
4%,673,85,30,0.058,0.0234,7.5,3.3000,3.2500,35.3
10%,"1,161",75,20,0.117459625,0.0154,6.5,7.5000,3.2500,75.3
10%,"1,161",75,30,0.106079248,0.0154,6.5,7.5000,3.2500,73.2
10%,"1,161",80,20,0.117459625,0.0154,6.5,7.5000,3.2500,73.8
10%,"1,161",80,30,0.106079248,0.0154,6.5,7.5000,3.2500,71.9
10%,"1,161",85,20,0.117459625,0.0154,6.5,7.5000,3.2500,72.5
10%,"1,161",85,30,0.106079248,0.0154,6.5,7.5000,3.2500,70.7
10%,917,75,20,0.117459625,0.0154,6.8,7.5000,3.2500,72.4
10%,917,75,30,0.106079248,0.0154,6.8,7.5000,3.2500,70.8
10%,917,80,20,0.117459625,0.0154,6.8,7.5000,3.2500,71.3
10%,917,80,30,0.106079248,0.0154,6.8,7.5000,3.2500,69.8
10%,917,85,20,0.117459625,0.0154,6.8,7.5000,3.2500,70.2
10%,917,85,30,0.106079248,0.0154,6.8,7.5000,3.2500,68.8
10%,673,75,20,0.117459625,0.0154,7.5,7.5000,3.2500,73.1
10%,673,75,30,0.106079248,0.0154,7.5,7.5000,3.2500,71.9
10%,673,80,20,0.117459625,0.0154,7.5,7.5000,3.2500,72.3
10%,673,80,30,0.106079248,0.0154,7.5,7.5000,3.2500,71.2
10%,673,85,20,0.117459625,0.0154,7.5,7.5000,3.2500,71.5
10%,673,85,30,0.106079248,0.0154,7.5,7.5000,3.2500,70.5
6%,"1,161",75,20,0.087,0.0154,6.5,7.5000,3.2500,69.9
6%,"1,161",75,30,0.073,0.0154,6.5,7.5000,3.2500,67.3
6%,"1,161",80,20,0.087,0.0154,6.5,7.5000,3.2500,68.8
6%,"1,161",80,30,0.073,0.0154,6.5,7.5000,3.2500,66.4
6%,"1,161",85,20,0.087,0.0154,6.5,7.5000,3.2500,67.8
6%,"1,161",85,30,0.073,0.0154,6.5,7.5000,3.2500,65.5
6%,917,75,20,0.087,0.0154,6.8,7.5000,3.2500,68.2
6%,917,75,30,0.073,0.0154,6.8,7.5000,3.2500,66.2
6%,917,80,20,0.087,0.0154,6.8,7.5000,3.2500,67.3
6%,917,80,30,0.073,0.0154,6.8,7.5000,3.2500,65.4
6%,917,85,20,0.087,0.0154,6.8,7.5000,3.2500,66.5
6%,917,85,30,0.073,0.0154,6.8,7.5000,3.2500,64.7
6%,673,75,20,0.087,0.0154,7.5,7.5000,3.2500,70.0
6%,673,75,30,0.073,0.0154,7.5,7.5000,3.2500,68.5
6%,673,80,20,0.087,0.0154,7.5,7.5000,3.2500,69.3
6%,673,80,30,0.073,0.0154,7.5,7.5000,3.2500,68.0
6%,673,85,20,0.087,0.0154,7.5,7.5000,3.2500,68.8
6%,673,85,30,0.073,0.0154,7.5,7.5000,3.2500,67.5
4%,"1,161",75,20,0.074,0.0154,6.5,7.5000,3.2500,67.5
4%,"1,161",75,30,0.058,0.0154,6.5,7.5000,3.2500,64.7
4%,"1,161",80,20,0.074,0.0154,6.5,7.5000,3.2500,66.5
4%,"1,161",80,30,0.058,0.0154,6.5,7.5000,3.2500,63.9
4%,"1,161",85,20,0.074,0.0154,6.5,7.5000,3.2500,65.6
4%,"1,161",85,30,0.058,0.0154,6.5,7.5000,3.2500,63.2
4%,917,75,20,0.074,0.0154,6.8,7.5000,3.2500,66.3
4%,917,75,30,0.058,0.0154,6.8,7.5000,3.2500,64.1
4%,917,80,20,0.074,0.0154,6.8,7.5000,3.2500,65.5
4%,917,80,30,0.058,0.0154,6.8,7.5000,3.2500,63.5
4%,917,85,20,0.074,0.0154,6.8,7.5000,3.2500,64.8
