Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"7,911",80,40,0.07,0.020,10.5,0.8,4.6017,111.1
6%,"7,911",80,50,0.06,0.020,10.5,0.8,4.6017,107.7
6%,"7,911",85,40,0.07,0.020,10.5,0.8,4.6017,105.3
6%,"7,911",85,50,0.06,0.020,10.5,0.8,4.6017,102.1
6%,"7,911",90,40,0.07,0.020,10.5,0.8,4.6017,100.2
6%,"7,911",90,50,0.06,0.020,10.5,0.8,4.6017,97.1
6%,"5,956",80,40,0.07,0.020,11.0,0.8,4.6017,87.2
6%,"5,956",80,50,0.06,0.020,11.0,0.8,4.6017,84.7
6%,"5,956",85,40,0.07,0.020,11.0,0.8,4.6017,82.9
6%,"5,956",85,50,0.06,0.020,11.0,0.8,4.6017,80.5
6%,"5,956",90,40,0.07,0.020,11.0,0.8,4.6017,79.0
6%,"5,956",90,50,0.06,0.020,11.0,0.8,4.6017,76.7
6%,4,80,40,0.07,0.020,11.5,0.8,4.6017,63.4
6%,4,80,50,0.06,0.020,11.5,0.8,4.6017,61.7
6%,4,85,40,0.07,0.020,11.5,0.8,4.6017,60.5
6%,4,85,50,0.06,0.020,11.5,0.8,4.6017,58.8
6%,4,90,40,0.07,0.020,11.5,0.8,4.6017,57.9
6%,4,90,50,0.06,0.020,11.5,0.8,4.6017,56.3
4%,"7,911",80,40,0.05,0.020,10.5,0.8,4.6017,93.1
4%,"7,911",80,50,0.05,0.020,10.5,0.8,4.6017,88.6
4%,"7,911",85,40,0.05,0.020,10.5,0.8,4.6017,88.4
4%,"7,911",85,50,0.05,0.020,10.5,0.8,4.6017,84.1
4%,"7,911",90,40,0.05,0.020,10.5,0.8,4.6017,84.2
4%,"7,911",90,50,0.05,0.020,10.5,0.8,4.6017,80.2
4%,"5,956",80,40,0.05,0.020,11.0,0.8,4.6017,73.7
4%,"5,956",80,50,0.05,0.020,11.0,0.8,4.6017,70.3
4%,"5,956",85,40,0.05,0.020,11.0,0.8,4.6017,70.1
4%,"5,956",85,50,0.05,0.020,11.0,0.8,4.6017,67.0
4%,"5,956",90,40,0.05,0.020,11.0,0.8,4.6017,67.0
4%,"5,956",90,50,0.05,0.020,11.0,0.8,4.6017,64.0
4%,4,80,40,0.05,0.020,11.5,0.8,4.6017,54.3
4%,4,80,50,0.05,0.020,11.5,0.8,4.6017,52.0
4%,4,85,40,0.05,0.020,11.5,0.8,4.6017,51.9
4%,4,85,50,0.05,0.020,11.5,0.8,4.6017,49.8
4%,4,90,40,0.05,0.020,11.5,0.8,4.6017,49.8
4%,4,90,50,0.05,0.020,11.5,0.8,4.6017,47.8
10%,"7,911",80,40,0.10,0.017,10.5,1.0,4.6017,149.7
10%,"7,911",80,50,0.10,0.017,10.5,1.0,4.6017,148.1
10%,"7,911",85,40,0.10,0.017,10.5,1.0,4.6017,141.7
10%,"7,911",85,50,0.10,0.017,10.5,1.0,4.6017,140.2
10%,"7,911",90,40,0.10,0.017,10.5,1.0,4.6017,134.7
10%,"7,911",90,50,0.10,0.017,10.5,1.0,4.6017,133.2
10%,"5,956",80,40,0.10,0.017,11.0,1.0,4.6017,116.8
10%,"5,956",80,50,0.10,0.017,11.0,1.0,4.6017,115.6
10%,"5,956",85,40,0.10,0.017,11.0,1.0,4.6017,110.8
10%,"5,956",85,50,0.10,0.017,11.0,1.0,4.6017,109.7
10%,"5,956",90,40,0.10,0.017,11.0,1.0,4.6017,105.5
10%,"5,956",90,50,0.10,0.017,11.0,1.0,4.6017,104.4
10%,4,80,40,0.10,0.017,11.5,1.0,4.6017,83.9
10%,4,80,50,0.10,0.017,11.5,1.0,4.6017,83.1
10%,4,85,40,0.10,0.017,11.5,1.0,4.6017,79.9
10%,4,85,50,0.10,0.017,11.5,1.0,4.6017,79.1
10%,4,90,40,0.10,0.017,11.5,1.0,4.6017,76.3
10%,4,90,50,0.10,0.017,11.5,1.0,4.6017,75.6
6%,"7,911",80,40,0.07,0.017,10.5,1.0,4.6017,109.2
6%,"7,911",80,50,0.06,0.017,10.5,1.0,4.6017,105.8
6%,"7,911",85,40,0.07,0.017,10.5,1.0,4.6017,103.7
6%,"7,911",85,50,0.06,0.017,10.5,1.0,4.6017,100.5
6%,"7,911",90,40,0.07,0.017,10.5,1.0,4.6017,98.7
6%,"7,911",90,50,0.06,0.017,10.5,1.0,4.6017,95.7
6%,"5,956",80,40,0.07,0.017,11.0,1.0,4.6017,86.3
6%,"5,956",80,50,0.06,0.017,11.0,1.0,4.6017,83.8
6%,"5,956",85,40,0.07,0.017,11.0,1.0,4.6017,82.2
6%,"5,956",85,50,0.06,0.017,11.0,1.0,4.6017,79.7
6%,"5,956",90,40,0.07,0.017,11.0,1.0,4.6017,78.4
6%,"5,956",90,50,0.06,0.017,11.0,1.0,4.6017,76.2
6%,4,80,40,0.07,0.017,11.5,1.0,4.6017,63.5
6%,4,80,50,0.06,0.017,11.5,1.0,4.6017,61.7
6%,4,85,40,0.07,0.017,11.5,1.0,4.6017,60.6
