Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,899,75,30,0.07,0.017,8.0,12.0,5.6200,113.9
6%,899,80,20,0.09,0.017,8.0,12.0,5.6200,115.0
6%,899,80,30,0.07,0.017,8.0,12.0,5.6200,113.2
6%,899,85,20,0.09,0.017,8.0,12.0,5.6200,114.2
6%,899,85,30,0.07,0.017,8.0,12.0,5.6200,112.5
6%,718,75,20,0.09,0.017,8.4,12.0,5.6200,118.3
6%,718,75,30,0.07,0.017,8.4,12.0,5.6200,116.7
6%,718,80,20,0.09,0.017,8.4,12.0,5.6200,117.6
6%,718,80,30,0.07,0.017,8.4,12.0,5.6200,116.1
6%,718,85,20,0.09,0.017,8.4,12.0,5.6200,117.0
6%,718,85,30,0.07,0.017,8.4,12.0,5.6200,115.6
6%,536,75,20,0.09,0.017,10.3,12.0,5.6200,138.2
6%,536,75,30,0.07,0.017,10.3,12.0,5.6200,137.0
6%,536,80,20,0.09,0.017,10.3,12.0,5.6200,137.7
6%,536,80,30,0.07,0.017,10.3,12.0,5.6200,136.6
6%,536,85,20,0.09,0.017,10.3,12.0,5.6200,137.2
6%,536,85,30,0.07,0.017,10.3,12.0,5.6200,136.2
4%,899,75,20,0.07,0.017,8.0,12.0,5.6200,114.1
4%,899,75,30,0.06,0.017,8.0,12.0,5.6200,111.9
4%,899,80,20,0.07,0.017,8.0,12.0,5.6200,113.3
4%,899,80,30,0.06,0.017,8.0,12.0,5.6200,111.3
4%,899,85,20,0.07,0.017,8.0,12.0,5.6200,112.6
4%,899,85,30,0.06,0.017,8.0,12.0,5.6200,110.7
4%,718,75,20,0.07,0.017,8.4,12.0,5.6200,116.8
4%,718,75,30,0.06,0.017,8.4,12.0,5.6200,115.1
4%,718,80,20,0.07,0.017,8.4,12.0,5.6200,116.2
4%,718,80,30,0.06,0.017,8.4,12.0,5.6200,114.6
4%,718,85,20,0.07,0.017,8.4,12.0,5.6200,115.7
4%,718,85,30,0.06,0.017,8.4,12.0,5.6200,114.1
4%,536,75,20,0.07,0.017,10.3,12.0,5.6200,137.1
4%,536,75,30,0.06,0.017,10.3,12.0,5.6200,135.8
4%,536,80,20,0.07,0.017,10.3,12.0,5.6200,136.7
4%,536,80,30,0.06,0.017,10.3,12.0,5.6200,135.5
4%,536,85,20,0.07,0.017,10.3,12.0,5.6200,136.2
4%,536,85,30,0.06,0.017,10.3,12.0,5.6200,135.1
